bin_info	binsize	mean_coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
chr4:55144059-55144178:NM_006206	120	219.1420	0.8419	0.8419	0.0755	0.0655
chr4:55152004-55152135:NM_006206	132	237.3430	0.9039	0.9039	0.0356	0.0310
chr4:55524182-55524248:KIT|NM_000222|exon|1|CDS	67	248.3986	0.9935	0.9935	0.1152	0.0738
chr4:55561678-55561947:KIT|NM_000222|exon|2|CDS	270	253.8028	1.0016	1.0016	0.0485	0.0381
chr4:55564450-55564731:KIT|NM_000222|exon|3|CDS	282	303.7823	1.2366	1.2366	0.1668	0.1572
chr4:55565796-55565932:KIT|NM_000222|exon|4|CDS	137	160.0345	0.6132	0.6132	0.0771	0.0629
chr4:55569890-55570058:KIT|NM_000222|exon|5|CDS	169	249.2913	1.0216	1.0216	0.0975	0.0831
chr4:55573264-55573453:KIT|NM_000222|exon|6|CDS	190	249.6681	0.9131	0.9131	0.0557	0.0478
chr4:55575590-55575705:KIT|NM_000222|exon|7|CDS	116	245.5076	1.0096	1.0096	0.0892	0.0676
chr4:55589750-55589864:KIT|NM_000222|exon|8|CDS	115	246.4756	0.9198	0.9198	0.0455	0.0404
chr4:55592023-55592216:KIT|NM_000222|exon|9|CDS	194	283.9222	1.1493	1.1493	0.0732	0.0568
chr4:55593384-55593490:KIT|NM_000222|exon|10|CDS	107	315.0849	1.3174	1.3174	0.1385	0.1075
chr4:55593582-55593708:KIT|NM_000222|exon|11|CDS	127	296.5698	1.2044	1.2044	0.1064	0.0971
chr4:55593989-55594093:KIT|NM_000222|exon|12|CDS	105	293.6741	1.1864	1.1864	0.1162	0.1039
chr4:55594177-55594287:KIT|NM_000222|exon|13|CDS	111	272.3132	1.0648	1.0648	0.0804	0.0658
chr4:55595501-55595651:KIT|NM_000222|exon|14|CDS	151	200.3373	0.7421	0.7421	0.0581	0.0522
chr4:55597494-55597585:KIT|NM_000222|exon|15|CDS	92	298.7552	1.2394	1.2394	0.1500	0.1280
chr4:55598037-55598164:KIT|NM_000222|exon|16|CDS	128	221.0830	0.8276	0.8276	0.0384	0.0358
chr4:55598213-55598236:chr4:55598213-55598236	24	8.2859	0.0567	0.0567	0.0152	0.0116
chr4:55599236-55599358:KIT|NM_000222|exon|17|CDS	123	284.1089	1.1864	1.1864	0.1326	0.1013
chr4:55602664-55602775:KIT|NM_000222|exon|18|CDS	112	236.5456	0.9519	0.9519	0.0727	0.0625
chr4:55602887-55602986:KIT|NM_000222|exon|19|CDS	100	191.7950	0.7445	0.7445	0.0693	0.0535
chr4:55603341-55603446:KIT|NM_000222|exon|20|CDS	106	236.1176	0.9218	0.9218	0.0917	0.0575
chr4:55604595-55604723:KIT|NM_000222|exon|21|CDS	129	250.6593	0.8733	0.8733	0.0454	0.0345
chr4:89020934-89020934:rs4148157	1	242.5283	0.9074	0.9074	0.0599	0.0550
chr5:218466-218538:NM_004168	73	234.7736	0.9217	0.9217	0.2325	0.1703
chr5:223592-223688:NM_004168	97	356.6898	1.4534	1.4534	0.1750	0.1167
chr5:224470-224641:NM_004168	172	333.8236	1.1698	1.1698	0.0341	0.0286
chr5:225529-225682:NM_004168	154	351.6774	1.4509	1.4509	0.1826	0.1415
chr5:225993-226167:NM_004168	175	338.6211	1.2795	1.2795	0.0956	0.0899
chr5:228295-228453:NM_004168	159	376.9189	1.5818	1.5818	0.1814	0.1275
chr5:230986-231120:NM_004168	135	281.2057	1.0044	1.0044	0.0779	0.0579
chr5:233587-233765:NM_004168	179	207.9059	0.8043	0.8043	0.0613	0.0526
chr5:235254-235459:NM_004168	206	345.3926	1.3517	1.3517	0.1449	0.1009
chr5:236538-236719:NM_004168	182	222.0457	0.8604	0.8604	0.0766	0.0662
chr5:240468-240596:NM_004168	129	216.7164	0.8258	0.8258	0.0702	0.0605
chr5:251102-251223:NM_004168	122	287.0013	1.1738	1.1738	0.1071	0.0845
chr5:251448-251588:NM_004168	141	187.9170	0.7180	0.7180	0.0851	0.0743
chr5:254503-254626:NM_004168	124	72.0989	0.3758	0.3758	0.0349	0.0249
chr5:256444-256540:NM_004168	97	308.0035	1.2476	1.2476	0.0655	0.0439
chr5:610093-610093:rs924607	1	247.3077	0.9833	0.9833	0.0811	0.0549
chr5:7870973-7870973:rs1801394	1	227.4038	0.9167	0.9167	0.0607	0.0434
chr5:112090583-112090727:NM_000038	145	247.0892	0.9621	0.9621	0.1026	0.0758
chr5:112102018-112102112:NM_000038	95	266.0364	1.0548	1.0548	0.1067	0.0987
chr5:112102881-112103092:NM_000038	212	342.8887	1.4599	1.4599	0.2013	0.1459
chr5:112111321-112111439:NM_000038	119	209.8310	0.7985	0.7985	0.0940	0.0750
chr5:112116482-112116605:NM_000038	124	276.6413	1.1247	1.1247	0.1174	0.1070
chr5:112128138-112128231:NM_000038	94	325.7641	1.3775	1.3775	0.2116	0.1905
chr5:112136971-112137085:NM_000038	115	321.3831	1.3681	1.3681	0.1834	0.1529
chr5:112151187-112151295:NM_000038	109	292.9942	1.1335	1.1335	0.0914	0.0558
chr5:112154658-112155046:NM_000038	389	308.2728	1.2586	1.2586	0.1198	0.0863
chr5:112157588-112157693:NM_000038	106	329.6440	1.3729	1.3729	0.1612	0.1344
chr5:112162800-112162949:NM_000038	150	302.1797	1.2081	1.2081	0.0854	0.0618
chr5:112163621-112163708:NM_000038	88	292.6643	1.1085	1.1085	0.0314	0.0265
chr5:112164548-112164674:NM_000038	127	182.1120	0.7022	0.7022	0.0679	0.0543
chr5:112170643-112170867:NM_000038	225	338.4618	1.4130	1.4130	0.1407	0.1165
chr5:112173245-112179828:NM_000038	6584	280.0734	1.0812	1.0812	0.0336	0.0214
chr5:149781810-149782129:NM_001025159	320	237.2332	0.9277	0.9277	0.0848	0.0590
chr5:149782872-149784246:NM_001025159	1375	266.6907	0.9873	0.9873	0.0349	0.0248
chr6:18130918-18130918:rs1142345	1	281.2174	1.0003	1.0003	0.1173	0.0918
chr6:18131012-18131012:rs1800584	1	289.0256	1.0195	1.0195	0.0714	0.0561
chr6:18139228-18139228:rs1800460	1	211.0517	0.7872	0.7872	0.1328	0.1256
chr6:18143955-18143955:rs1800462	1	226.7593	0.8832	0.8832	0.1073	0.0875
chr6:18148082-18148082:rs200591577	1	306.4528	1.2265	1.2265	0.1598	0.1366
chr6:51503599-51503615:chr6:51503599-51503615	17	34.6975	0.1944	0.1944	0.0487	0.0350
chr6:117609459-117609970:NM_002944	512	252.6461	1.0543	1.0543	0.0422	0.0342
chr6:117622133-117622305:NM_002944	173	245.6047	0.9097	0.9097	0.0485	0.0345
chr6:117629953-117630096:NM_002944	144	250.7155	0.9779	0.9779	0.0798	0.0572
chr6:117631240-117631449:NM_002944	210	227.5117	0.8766	0.8766	0.0561	0.0404
chr6:117632179-117632285:NM_002944	107	188.1556	0.6896	0.6896	0.0761	0.0654
chr6:117638302-117638440:NM_002944	139	186.4286	0.7107	0.7107	0.0800	0.0538
chr6:117639347-117639420:NM_002944	74	315.9754	1.2892	1.2892	0.1610	0.1328
chr6:117641027-117647582:NM_002944	6556	247.6096	0.9024	0.9024	0.0326	0.0264
chr6:117650488-117650614:NM_002944	127	194.5740	0.7050	0.7050	0.0820	0.0678
chr6:117658331-117658508:NM_002944	178	217.4868	0.8205	0.8205	0.0460	0.0343
chr6:137102365-137102365:rs9376230	1	346.3488	1.1780	1.1780	0.0651	0.0474
chr6:137105400-137105400:rs9483947	1	254.3333	1.0109	1.0109	0.0593	0.0508
chr6:152163335-152163335:rs2234693	1	273.7551	0.9916	0.9916	0.1116	0.0656
chr6:152200129-152200129:rs9322335	1	239.5283	0.9129	0.9129	0.0849	0.0630
chr6:152424478-152424478:rs2813543	1	279.9623	1.0733	1.0733	0.0886	0.0685
chr6:154360797-154360797:rs1799971	1	107.1961	0.4467	0.4467	0.0731	0.0475
chr6:160113872-160113872:rs4880	1	125.5536	0.4809	0.4809	0.1064	0.0855
chr6:162683815-162683834:chr6:162683815-162683834	20	8.5691	0.0465	0.0465	0.0209	0.0142
chr7:6013025-6013178:NM_000535	154	20.1683	0.0794	0.0794	0.0277	0.0249
chr7:6017214-6017393:NM_000535	180	233.3332	0.9378	0.9378	0.1060	0.0670
chr7:6018222-6018332:NM_000535	111	287.4457	1.2184	1.2184	0.3039	0.1796
chr7:6022450-6022627:NM_000535	178	48.7989	0.2233	0.2233	0.0302	0.0209
chr7:6026385-6027256:NM_000535	872	301.2532	1.2141	1.2141	0.0719	0.0583
chr7:6029426-6029591:NM_000535	166	371.9082	1.5130	1.5130	0.1381	0.0898
chr7:6031599-6031693:NM_000535	95	303.9801	1.2285	1.2285	0.0837	0.0562
chr7:6035160-6035269:NM_000535	110	228.4848	0.8932	0.8932	0.1321	0.1085
chr7:6036952-6037074:NM_000535,chr7:6037059-6037074	123	254.3684	1.0051	1.0051	0.2749	0.2052
chr7:6038734-6038911:NM_000535	178	385.9351	1.6671	1.6671	0.1724	0.1161
chr7:6042079-6042272:NM_000535	194	116.9396	0.5616	0.5616	0.0644	0.0525
chr7:6043316-6043428:NM_000535	113	229.8049	0.8847	0.8847	0.1045	0.0918
chr7:6043598-6043694:NM_000535	97	258.9245	0.9466	0.9466	0.1060	0.0787
chr7:6045518-6045667:NM_000535	150	213.9287	0.8108	0.8108	0.1157	0.0844
chr7:6048623-6048655:NM_000535	33	81.8147	0.3222	0.3222	0.1507	0.1355
chr7:6048734-6048862:NM_000535	129	232.0200	0.9781	0.9781	0.5065	0.3633
chr7:55086966-55087063:NM_005228	98	176.3302	0.7960	0.7960	0.2875	0.1665
chr7:55209974-55210135:NM_005228	162	117.9894	0.5154	0.5154	0.0635	0.0353
chr7:55210993-55211186:NM_005228	194	178.3810	0.7155	0.7155	0.0549	0.0478
chr7:55214294-55214438:NM_005228	145	205.2179	0.7754	0.7754	0.0837	0.0737
chr7:55218982-55219060:NM_005228	79	121.1787	0.4720	0.4720	0.1071	0.0863
chr7:55220234-55220362:NM_005228	129	145.6393	0.5518	0.5518	0.0770	0.0555
chr7:55221699-55221850:NM_005228	152	156.7630	0.5956	0.5956	0.1040	0.0794
chr7:55223518-55223644:NM_005228	127	194.3291	0.7086	0.7086	0.0435	0.0308
chr7:55224221-55224357:NM_005228	137	265.8330	1.0904	1.0904	0.0680	0.0490
chr7:55224447-55224530:NM_005228	84	242.8043	0.9653	0.9653	0.0629	0.0515
chr7:55225351-55225451:NM_005228	101	196.1292	0.7451	0.7451	0.0693	0.0573
chr7:55227827-55228036:NM_005228	210	211.3405	0.8253	0.8253	0.0527	0.0323
chr7:55229187-55229329:NM_005228	143	281.2495	1.1538	1.1538	0.1900	0.1417
chr7:55231421-55231521:NM_005228	101	211.8091	0.8292	0.8292	0.0896	0.0666
chr7:55232968-55233135:NM_005228	168	194.5476	0.7344	0.7344	0.0682	0.0620
chr7:55238863-55238911:NM_005228	49	232.1117	0.8880	0.8880	0.0697	0.0489
chr7:55240671-55241741:NM_005228	1071	249.3885	0.9062	0.9062	0.0285	0.0247
chr7:55242410-55242518:NM_005228	109	75.7446	0.3503	0.3503	0.0437	0.0326
chr7:55248981-55249176:NM_005228	196	211.4610	0.7809	0.7809	0.0408	0.0352
chr7:55259407-55259572:NM_005228	166	263.1707	0.9307	0.9307	0.0522	0.0457
chr7:55260454-55260539:NM_005228	86	202.0547	0.7699	0.7699	0.0779	0.0566
