gene	coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
BRCA1,BRCA1.intron.19	755.2472	1.3881	1.3881	0.0318	0.0244
BRCA1,BRCA1.intron.19,BRCA1.intron.20	690.1753	1.2747	1.2747	0.0245	0.0203
BRCA1,BRCA1.intron.2	687.9571	1.2888	1.2888	0.0410	0.0309
BRCA1,BRCA1.intron.20	700.8052	1.2939	1.2939	0.0296	0.0224
BRCA1,BRCA1.intron.7	652.8858	1.2588	1.2588	0.0340	0.0269
BRCA1,BRCA1.intron.7,BRCA1.intron.8	677.9779	1.2712	1.2712	0.0237	0.0187
BRCA1,BRCA1.intron.8	574.9641	1.1374	1.1374	0.0485	0.0317
BRCA1.intron.12	558.4587	1.1057	1.1057	0.0590	0.0425
BRCA1.intron.16	646.1518	1.2190	1.2190	0.0480	0.0412
BRCA1.intron.19	690.2716	1.2830	1.2830	0.0337	0.0257
BRCA1.intron.2	670.0962	1.2706	1.2706	0.0516	0.0422
BRCA1.intron.7	585.7400	1.1358	1.1358	0.0652	0.0517
BRCA2	647.7980	1.2110	1.2110	0.0459	0.0355
BRCA2,BRCA2.intron.2	818.9126	1.5048	1.5048	0.0922	0.0839
BRCA2.intron.2	820.5437	1.4942	1.4942	0.0716	0.0448
BRD4	488.2351	0.9491	0.9491	0.0519	0.0401
BRIP1	545.3895	1.0503	1.0503	0.0495	0.0382
BTG1	598.9515	1.1723	1.1723	0.0459	0.0323
BTG2	484.5692	0.9665	0.9665	0.0413	0.0294
BTK	493.9805	0.9733	0.9733	0.0378	0.0287
C11orf30	579.8037	1.1267	1.1267	0.0423	0.0317
CALR	487.1155	0.9631	0.9631	0.0480	0.0387
CARD11	401.7232	0.7936	0.7936	0.0463	0.0361
CARM1	394.2564	0.7762	0.7762	0.0535	0.0404
CASP8	543.2917	1.0726	1.0726	0.0462	0.0371
CBFB	306.0890	0.5948	0.5948	0.0402	0.0307
CBL	588.8021	1.1387	1.1387	0.0409	0.0316
CCND1	511.8394	1.0034	1.0034	0.0586	0.0442
CCND2	510.2562	1.0100	1.0100	0.0395	0.0313
CCND3	597.6508	1.1602	1.1602	0.0345	0.0266
CCNE1	521.5531	1.0246	1.0246	0.0472	0.0344
CD22	484.8580	0.9578	0.9578	0.0453	0.0335
CD274	494.9320	0.9703	0.9703	0.0372	0.0307
CD276	529.0218	1.0330	1.0330	0.0485	0.0371
CD70	446.1255	0.8689	0.8689	0.0398	0.0308
CD74.intron.6	534.8465	1.0473	1.0473	0.0360	0.0274
CD74.intron.7,CD74.intron.8	562.6967	1.1142	1.1142	0.0417	0.0347
CD79A	390.3485	0.7674	0.7674	0.0500	0.0384
CD79B	492.0144	0.9593	0.9593	0.0549	0.0407
CDC42	640.4025	1.2047	1.2047	0.0367	0.0287
CDC73	383.0653	0.7493	0.7493	0.0487	0.0386
CDH1	520.6428	1.0265	1.0265	0.0365	0.0280
CDK12	608.9736	1.1696	1.1696	0.0357	0.0290
CDK4	517.6067	1.0098	1.0098	0.0418	0.0331
CDK6	563.4491	1.1140	1.1140	0.0485	0.0368
CDK8	456.3919	0.9034	0.9034	0.0507	0.0407
CDKN1A	488.4200	0.9649	0.9649	0.0469	0.0353
CDKN1B	632.8930	1.2465	1.2465	0.0382	0.0306
CDKN2A	555.5745	1.0858	1.0858	0.0424	0.0330
CDKN2B	670.2287	1.2743	1.2743	0.0442	0.0309
CDKN2C	610.8563	1.1780	1.1780	0.0363	0.0283
CEBPA	418.5088	0.8231	0.8231	0.0711	0.0538
CENPA	500.7197	0.9758	0.9758	0.0422	0.0335
CHD2	495.2506	0.9700	0.9700	0.0472	0.0359
CHD4	499.9392	0.9915	0.9915	0.0385	0.0294
CHEK1	456.1700	0.9043	0.9043	0.0518	0.0402
CHEK2	504.7786	0.9872	0.9872	0.0340	0.0273
CIC	549.6066	1.0592	1.0592	0.0543	0.0432
CREBBP	495.8436	0.9763	0.9763	0.0429	0.0316
CRKL	618.4101	1.2103	1.2103	0.0388	0.0314
CRLF2	0.0000	0.0047	0.0000	0.0013	0.0000
CSDE1	508.3715	0.9988	0.9988	0.0483	0.0373
CSF1R	498.6266	0.9838	0.9838	0.0428	0.0321
CSF3R	531.8776	1.0422	1.0422	0.0397	0.0303
CTCF	486.1382	0.9703	0.9703	0.0395	0.0300
CTLA4	496.8742	0.9868	0.9868	0.0415	0.0328
CTNNA1	555.1243	1.0802	1.0802	0.0388	0.0293
CTNNB1	585.8548	1.1379	1.1379	0.0472	0.0335
CUL3	410.8393	0.8094	0.8094	0.0458	0.0349
CUL4A	369.9603	0.7297	0.7297	0.0369	0.0290
CXCR4	630.0040	1.2171	1.2171	0.0340	0.0250
CYLD	478.6754	0.9385	0.9385	0.0450	0.0340
CYP17A1	469.1265	0.9287	0.9287	0.0426	0.0330
CYSLTR2	665.4967	1.2672	1.2672	0.0302	0.0278
D17S261	940.6697	1.7135	1.7135	0.0923	0.0607
D17S520	862.8971	1.6211	1.6211	0.0585	0.0437
D18S34	901.8057	1.6674	1.6674	0.1532	0.1055
D2S123	776.0730	1.4324	1.4324	0.1052	0.0860
D5S346	805.4286	1.4842	1.4842	0.0822	0.0642
DAXX	1.1732	0.0066	0.0021	0.0013	0.0011
DCUN1D1	404.3043	0.8001	0.8001	0.0479	0.0368
DDR1	0.0000	0.0047	0.0000	0.0013	0.0000
DDR2	541.0960	1.0639	1.0639	0.0441	0.0331
DICER1	502.4660	0.9872	0.9872	0.0417	0.0317
DIS3	491.1218	0.9646	0.9646	0.0551	0.0438
DNAJB1	539.2482	1.0751	1.0751	0.0377	0.0292
DNMT1	499.3087	0.9817	0.9817	0.0512	0.0387
DNMT3A	494.3992	0.9631	0.9631	0.0430	0.0335
DNMT3B	485.3570	0.9567	0.9567	0.0417	0.0325
DOT1L	551.1654	1.0440	1.0440	0.0501	0.0342
DRB3/4	18.9872	0.0378	0.0343	0.0541	0.0343
DROSHA	455.8688	0.9036	0.9036	0.0475	0.0363
DUSP4	640.2542	1.2233	1.2233	0.0428	0.0332
E2F3	474.2228	0.9371	0.9371	0.0419	0.0353
EED	425.5382	0.8375	0.8375	0.0489	0.0384
EGFL7	317.8168	0.6017	0.6017	0.0507	0.0355
EGFR	539.4025	1.0580	1.0580	0.0422	0.0308
EGFR,EGFR.intron.15	694.9071	1.3167	1.3167	0.0668	0.0564
EGFR,EGFR.intron.24,EGFR.intron.25,EGFR.intron.26,EGFR.intron.27	691.2137	1.2812	1.2812	0.0293	0.0240
EGFR,EGFR.intron.7	634.3526	1.2514	1.2514	0.0335	0.0243
EIF1AX	390.9826	0.7782	0.7782	0.0519	0.0417
EIF4A2	474.8239	0.9402	0.9402	0.0423	0.0308
EIF4E	363.7652	0.7063	0.7063	0.0468	0.0364
ELF3	458.8947	0.9103	0.9103	0.0437	0.0331
EP300	637.8611	1.2128	1.2128	0.0409	0.0326
EPAS1	567.7767	1.0996	1.0996	0.0417	0.0333
EPCAM	429.1380	0.8492	0.8492	0.0450	0.0312
EPHA3	619.2446	1.1748	1.1748	0.0513	0.0417
EPHA5	608.6045	1.1717	1.1717	0.0517	0.0404
EPHA7	487.1179	0.9478	0.9478	0.0451	0.0358
EPHB1	454.7515	0.9005	0.9005	0.0359	0.0288
EPHB4	437.8793	0.8624	0.8624	0.0532	0.0390
ERBB2	495.6064	0.9727	0.9727	0.0594	0.0472
ERBB3	500.2717	0.9888	0.9888	0.0386	0.0300
ERBB4	474.9089	0.9233	0.9233	0.0457	0.0357
ERCC1	470.9528	0.9271	0.9271	0.0413	0.0280
ERCC2	478.9507	0.9421	0.9421	0.0559	0.0438
ERCC3	599.1379	1.1588	1.1588	0.0394	0.0315
ERCC4	640.0184	1.2077	1.2077	0.0491	0.0402
ERCC5	636.5248	1.2000	1.2000	0.0508	0.0424
ERF	458.4908	0.9009	0.9009	0.0609	0.0461
ERG	719.1064	1.3127	1.3127	0.0264	0.0212
ERRFI1	594.4710	1.1774	1.1774	0.0289	0.0211
ESR1	589.3406	1.1626	1.1626	0.0446	0.0336
ETV1	461.3011	0.8967	0.8967	0.0455	0.0366
ETV4.intron.5	593.8187	1.1379	1.1379	0.0361	0.0276
ETV4.intron.6	771.9464	1.4049	1.4049	0.0522	0.0411
ETV5.intron.6	561.4131	1.1117	1.1117	0.0324	0.0259
ETV5.intron.7	628.5187	1.2182	1.2182	0.0368	0.0306
ETV6	552.0721	1.0784	1.0784	0.0405	0.0296
ETV6,ETV6.intron.5	786.8095	1.4505	1.4505	0.0306	0.0241
ETV6,ETV6.intron.5,ETV6.intron.6	993.8933	1.8178	1.8178	0.0368	0.0253
ETV6.intron.5	814.9212	1.5116	1.5116	0.0543	0.0473
EWSR1.intron.10,EWSR1.intron.8,EWSR1.intron.9	675.2644	1.2665	1.2665	0.0229	0.0154
EWSR1.intron.11	640.6672	1.2313	1.2313	0.0283	0.0209
EWSR1.intron.12	671.7018	1.2641	1.2641	0.0317	0.0234
EWSR1.intron.13	583.1573	1.1198	1.1198	0.0337	0.0289
EWSR1.intron.6	692.1931	1.3141	1.3141	0.0498	0.0393
EWSR1.intron.7	700.6554	1.3061	1.3061	0.0290	0.0207
EZH1	357.2551	0.7044	0.7044	0.0355	0.0278
EZH2	490.9198	0.9706	0.9706	0.0472	0.0378
EZR	614.3392	1.2159	1.2159	0.0516	0.0433
EZR.intron.10	592.0540	1.1830	1.1830	0.0253	0.0200
EZR.intron.11,EZR.intron.12	620.2494	1.2215	1.2215	0.0343	0.0212
FAM175A	472.3776	0.9287	0.9287	0.0441	0.0366
FAM46C	642.8759	1.2665	1.2665	0.0250	0.0216
FAM58A	378.3017	0.7361	0.7361	0.0392	0.0283
FANCA	481.4613	0.9344	0.9344	0.0459	0.0349
FANCC	538.5488	1.0607	1.0607	0.0411	0.0328
FANCD2	517.8210	1.0048	1.0048	0.0512	0.0399
FANCE	552.6408	1.0872	1.0872	0.0461	0.0360
FANCF	780.8636	1.4360	1.4360	0.0581	0.0495
FANCG	578.3499	1.1327	1.1327	0.0350	0.0271
FANCL	452.7343	0.8910	0.8910	0.0596	0.0480
FAS	477.0763	0.9334	0.9334	0.0437	0.0343
FAT1	561.1488	1.1056	1.1056	0.0288	0.0224
FBXW7	595.1481	1.1272	1.1272	0.0472	0.0355
FGF10	583.0980	1.1172	1.1172	0.0494	0.0396
FGF12	552.6600	1.0804	1.0804	0.0442	0.0363
FGF14	417.7565	0.8185	0.8185	0.0410	0.0307
FGF19	442.3766	0.8676	0.8676	0.0498	0.0412
FGF23	564.8341	1.1116	1.1116	0.0360	0.0294
FGF3	332.9833	0.6474	0.6474	0.0684	0.0533
FGF4	352.8572	0.6887	0.6887	0.0621	0.0451
FGF6	478.8457	0.9562	0.9562	0.0465	0.0324
FGFR1	502.9460	0.9932	0.9932	0.0405	0.0320
FGFR1,FGFR1.intron.1	724.9819	1.3334	1.3334	0.0287	0.0247
FGFR1,FGFR1.intron.17	710.5197	1.3116	1.3116	0.0331	0.0181
FGFR1,FGFR1.intron.5	704.3568	1.3061	1.3061	0.0364	0.0280
FGFR1.intron.1	677.1117	1.2697	1.2697	0.0290	0.0214
FGFR1.intron.5	678.3829	1.2893	1.2893	0.0410	0.0290
FGFR2	476.1017	0.9449	0.9449	0.0350	0.0268
FGFR2,FGFR2.intron.17	650.6532	1.2558	1.2558	0.0281	0.0209
FGFR2.intron.1	692.6222	1.2885	1.2885	0.0271	0.0179
FGFR3	518.0408	1.0019	1.0019	0.0676	0.0504
FGFR3,FGFR3.intron.17	568.7889	1.0957	1.0957	0.0598	0.0551
FGFR4	505.5528	0.9816	0.9816	0.0521	0.0406
FH	474.0691	0.9290	0.9290	0.0532	0.0416
FLCN	518.3124	1.0240	1.0240	0.0428	0.0342
FLI1.intron.3	749.0781	1.3805	1.3805	0.0212	0.0168
FLI1.intron.4	734.0948	1.3522	1.3522	0.0196	0.0149
FLI1.intron.4,FLI1.intron.5	742.3516	1.3603	1.3603	0.0297	0.0232
FLI1.intron.5	691.9704	1.2771	1.2771	0.0246	0.0195
FLI1.intron.5,FLI1.intron.6,FLI1.intron.7,FLI1.intron.8	788.0380	1.3886	1.3886	0.0093	0.0068
FLT1	648.3136	1.2164	1.2164	0.0351	0.0278
FLT3	523.5541	1.0198	1.0198	0.0416	0.0322
FLT4	486.7148	0.9502	0.9502	0.0625	0.0465
FOXA1	619.9531	1.1681	1.1681	0.0265	0.0194
FOXL2	500.0554	0.9925	0.9925	0.0629	0.0386
FOXO1	600.2435	1.1835	1.1835	0.0392	0.0329
FOXP1	458.0426	0.8968	0.8968	0.0412	0.0320
FRS2	564.8914	1.1055	1.1055	0.0366	0.0279
FUBP1	484.1559	0.9516	0.9516	0.0519	0.0401
FYN	547.5491	1.0838	1.0838	0.0404	0.0300
GABRA6	525.2748	1.0228	1.0228	0.0426	0.0313
GATA1	477.0862	0.9450	0.9450	0.0471	0.0364
GATA2	457.3876	0.8956	0.8956	0.0566	0.0429
GATA3	495.9444	0.9674	0.9674	0.0429	0.0339
GATA4	503.3323	0.9950	0.9950	0.0532	0.0402
GATA6	513.9275	1.0023	1.0023	0.0486	0.0382
GID4	403.3023	0.8045	0.8045	0.0378	0.0296
GLI1	499.8446	0.9913	0.9913	0.0473	0.0360
GNA11	394.2083	0.7678	0.7678	0.0631	0.0458
GNA13	518.8909	1.0165	1.0165	0.0382	0.0318
GNAQ	497.7940	0.9796	0.9796	0.0435	0.0340
GNAS	606.9340	1.1374	1.1374	0.0351	0.0278
GPR124	454.5810	0.8891	0.8891	0.0481	0.0365
GPS2	423.3050	0.8346	0.8346	0.0461	0.0347
GREM1	386.7193	0.7709	0.7709	0.0315	0.0234
GRIN2A	568.6285	1.0923	1.0923	0.0348	0.0260
GRM3	613.6981	1.1920	1.1920	0.0375	0.0286
GSK3B	450.2101	0.8906	0.8906	0.0539	0.0408
H3F3A	469.9587	0.9314	0.9314	0.0534	0.0459
H3F3B	539.4489	1.0649	1.0649	0.0380	0.0302
H3F3C	559.9960	1.1206	1.1206	0.0284	0.0221
HDAC1	505.2704	0.9912	0.9912	0.0519	0.0409
HGF	534.4063	1.0438	1.0438	0.0511	0.0396
HIST1H1C	579.7679	1.1542	1.1542	0.0457	0.0346
HIST1H2BD	449.2226	0.8978	0.8978	0.0243	0.0172
HIST1H3A	498.7704	0.9878	0.9878	0.0307	0.0257
HIST1H3B	552.3932	1.1024	1.1024	0.0559	0.0469
HIST1H3C	496.3531	0.9875	0.9875	0.0808	0.0749
HIST1H3D	497.7389	0.9889	0.9889	0.0889	0.0798
HIST1H3E	572.3359	1.1337	1.1337	0.0387	0.0313
HIST1H3F	490.1356	0.9688	0.9688	0.0697	0.0652
HIST1H3G	500.2344	1.0047	1.0047	0.0335	0.0227
HIST1H3H	461.8433	0.9144	0.9144	0.0577	0.0444
HIST1H3I	531.6704	1.0562	1.0562	0.0739	0.0644
HIST1H3J	557.7682	1.1029	1.1029	0.0416	0.0369
HIST2H3C	0.0000	0.0047	0.0000	0.0013	0.0000
HIST2H3D	571.3038	1.1205	1.1205	0.0458	0.0343
HIST3H3	494.5731	0.9831	0.9831	0.0480	0.0369
HLA-A	47.3488	0.0932	0.0915	0.0741	0.0634
HLA-B	57.9097	0.1065	0.1055	0.1490	0.1026
HLA-C	39.7710	0.0793	0.0774	0.0973	0.0764
HLA-DMA	3.4480	0.0106	0.0064	0.0072	0.0064
HLA-DMB	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DOA	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DOB	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DPA1	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DPB1	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DQA1	255.5468	0.5075	0.5075	0.4524	0.5048
HLA-DQA2	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DQB1	159.1449	0.3101	0.3101	0.3121	0.3100
HLA-DQB2	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DRA	0.0000	0.0047	0.0000	0.0013	0.0000
HLA-DRB1	158.5205	0.3102	0.3102	0.3713	0.3102
HLA-DRB5	186.2328	0.3597	0.3597	0.3309	0.2505
HNF1A	468.4484	0.9277	0.9277	0.0537	0.0422
HOXB13	476.5398	0.9386	0.9386	0.0483	0.0390
HRAS	402.8174	0.7954	0.7954	0.0639	0.0453
HSD3B1	549.9995	1.0773	1.0773	0.0288	0.0210
HSP90AA1	493.8447	0.9798	0.9798	0.0392	0.0305
ICOSLG	502.1839	0.9786	0.9786	0.0664	0.0476
ID3	451.3924	0.8920	0.8920	0.0541	0.0384
IDH1	542.1307	1.0548	1.0548	0.0439	0.0344
IDH2	501.3739	0.9940	0.9940	0.0464	0.0367
IFNGR1	592.9185	1.1308	1.1308	0.0506	0.0425
IGF1	569.6947	1.1307	1.1307	0.0554	0.0402
IGF1R	556.4065	1.1002	1.1002	0.0394	0.0309
IGF2	285.6369	0.5448	0.5448	0.0444	0.0329
IKBKE	523.0213	1.0260	1.0260	0.0438	0.0356
IKZF1	526.8651	1.0346	1.0346	0.0285	0.0225
IL10	476.9077	0.9452	0.9452	0.0374	0.0299
IL7R	493.6289	0.9761	0.9761	0.0410	0.0330
INHA	434.7264	0.8573	0.8573	0.0561	0.0425
INHBA	462.8996	0.9103	0.9103	0.0358	0.0295
INPP4A	358.0068	0.7089	0.7089	0.0373	0.0296
INPP4B	514.2013	0.9924	0.9924	0.0546	0.0422
INPPL1	358.4305	0.7032	0.7032	0.0462	0.0348
INSR	540.4242	1.0651	1.0651	0.0420	0.0324
IRF2	483.7933	0.9577	0.9577	0.0360	0.0282
IRF4	517.7524	1.0280	1.0280	0.0466	0.0366
IRS1	698.7756	1.2935	1.2935	0.0365	0.0269
IRS2	757.6323	1.4019	1.4019	0.0689	0.0486
JAK1	581.1924	1.1303	1.1303	0.0431	0.0339
JAK2	589.6146	1.1426	1.1426	0.0619	0.0475
JAK3	579.8743	1.1147	1.1147	0.0485	0.0384
JUN	619.7821	1.2223	1.2223	0.0354	0.0266
KAT6A	452.4269	0.8945	0.8945	0.0337	0.0267
KDM5A	544.2239	1.0577	1.0577	0.0458	0.0351
KDM5C	432.7184	0.8576	0.8576	0.0386	0.0293
KDM6A	525.0390	1.0116	1.0116	0.0473	0.0352
KDR	585.3520	1.1428	1.1428	0.0464	0.0360
KEAP1	475.4946	0.9402	0.9402	0.0461	0.0341
KEL	479.5473	0.9485	0.9485	0.0338	0.0261
KIT	556.8268	1.0814	1.0814	0.0440	0.0349
KLF4	627.6109	1.2088	1.2088	0.0419	0.0332
KLHL6	562.8801	1.1042	1.1042	0.0346	0.0265
KMT2A	647.7783	1.2160	1.2160	0.0367	0.0281
KMT2A,KMT2A.intron.10,KMT2A.intron.11	623.4261	1.2334	1.2334	0.0452	0.0338
KMT2A,KMT2A.intron.10,KMT2A.intron.8,KMT2A.intron.9	861.9195	1.5625	1.5625	0.0453	0.0349
KMT2A,KMT2A.intron.11	772.5616	1.4069	1.4069	0.0503	0.0449
KMT2A,KMT2A.intron.6	687.1149	1.2829	1.2829	0.0349	0.0257
KMT2A,KMT2A.intron.6,KMT2A.intron.7,KMT2A.intron.8	876.8583	1.6081	1.6081	0.0671	0.0542
KMT2A.intron.10	759.8620	1.3918	1.3918	0.0608	0.0458
KMT2A.intron.6	604.9032	1.2004	1.2004	0.0699	0.0562
KMT2A.intron.8	679.3085	1.2670	1.2670	0.0871	0.0603
KMT2B	474.2253	0.9275	0.9275	0.0589	0.0467
KMT2C	625.1059	1.1787	1.1787	0.0496	0.0389
KMT2D	482.6398	0.9478	0.9478	0.0496	0.0381
KNSTRN	360.9086	0.7086	0.7086	0.0329	0.0266
KRAS	489.2390	0.9655	0.9655	0.0496	0.0378
LATS1	557.1583	1.0917	1.0917	0.0344	0.0270
LATS2	557.2164	1.1020	1.1020	0.0316	0.0259
LMO1	409.4793	0.8042	0.8042	0.0455	0.0358
LRP1B	515.3029	1.0091	1.0091	0.0522	0.0392
LTK	443.2741	0.8706	0.8706	0.0581	0.0445
LYN	469.7405	0.9306	0.9306	0.0393	0.0304
LZTR1	397.6702	0.7775	0.7775	0.0541	0.0420
MAF	626.1846	1.2007	1.2007	0.0361	0.0283
MAGI2	505.5669	0.9811	0.9811	0.0441	0.0326
MALT1	458.9104	0.9076	0.9076	0.0484	0.0364
MAP2K1	465.9065	0.9244	0.9244	0.0424	0.0310
MAP2K2	479.6702	0.9296	0.9296	0.0538	0.0386
MAP2K4	445.2664	0.8808	0.8808	0.0547	0.0435
MAP3K1	525.6073	1.0228	1.0228	0.0462	0.0364
MAP3K13	459.3902	0.9080	0.9080	0.0393	0.0290
MAP3K14	378.4665	0.7393	0.7393	0.0437	0.0331
MAPK1	440.8667	0.8703	0.8703	0.0407	0.0313
MAPK3	441.5258	0.8662	0.8662	0.0471	0.0363
MAPKAP1	444.6209	0.8785	0.8785	0.0355	0.0260
MAX	468.8716	0.9232	0.9232	0.0275	0.0212
MCL1	638.0556	1.2331	1.2331	0.0314	0.0235
MDC1	0.0000	0.0047	0.0000	0.0013	0.0000
MDM2	501.7207	0.9595	0.9595	0.0414	0.0306
MDM4	469.1066	0.9189	0.9189	0.0371	0.0292
MED12	471.0883	0.9305	0.9305	0.0427	0.0334
MEF2B	419.5104	0.8289	0.8289	0.0580	0.0445
MEN1	482.3534	0.9445	0.9445	0.0537	0.0395
MERTK	459.5574	0.9108	0.9108	0.0354	0.0272
MET	524.8734	1.0302	1.0302	0.0461	0.0359
MET,MET.intron.1	572.8647	1.1280	1.1280	0.0367	0.0280
MET,MET.intron.14	510.8294	1.0000	1.0000	0.0351	0.0258
MET.intron.1	511.6377	1.0056	1.0056	0.0299	0.0233
MGA	576.4293	1.1089	1.1089	0.0322	0.0252
MITF	580.2123	1.1241	1.1241	0.0490	0.0373
MKNK1	454.5225	0.8960	0.8960	0.0454	0.0338
MLH1	544.0466	1.0683	1.0683	0.0479	0.0377
MONO-27	550.4023	1.1063	1.1063	0.1308	0.1138
MPL	478.4574	0.9461	0.9461	0.0464	0.0357
MRE11A	466.4587	0.9187	0.9187	0.0510	0.0405
MSH2	572.6488	1.1242	1.1242	0.0527	0.0412
MSH2,MSH2.intron.5	682.8487	1.2820	1.2820	0.0315	0.0241
MSH2.intron.5	702.4131	1.2991	1.2991	0.0342	0.0221
MSH3	450.2260	0.8891	0.8891	0.0518	0.0408
MSH6	566.5102	1.0927	1.0927	0.0383	0.0320
MSI1	307.6696	0.5932	0.5932	0.0397	0.0304
MSI2	440.4682	0.8699	0.8699	0.0376	0.0270
MST1	473.2584	0.9287	0.9287	0.0589	0.0445
MST1R	524.0427	1.0234	1.0234	0.0539	0.0414
MTAP	574.2677	1.0974	1.0974	0.0433	0.0345
MTOR	499.9768	0.9843	0.9843	0.0363	0.0278
MUTYH	599.8399	1.1578	1.1578	0.0501	0.0395
MYB.intron.14	627.5688	1.2257	1.2257	0.0496	0.0396
MYC	737.3747	1.3470	1.3470	0.0404	0.0312
MYC,MYC.intron.1	706.2335	1.3098	1.3098	0.0387	0.0326
MYCL	627.5700	1.2171	1.2171	0.0373	0.0293
MYCN	637.0618	1.2086	1.2086	0.0476	0.0347
