bin_info	binsize	mean_coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
chr1:11319269-11319508:MTOR	240	536.6421	1.0581	1.0581	0.0476	0.0358
chr1:16174545-16174664:SPEN	120	258.2285	0.4845	0.4845	0.0636	0.0549
chr1:16199291-16200923:SPEN	1633	605.4722	1.1634	1.1634	0.0143	0.0108
chr1:16202695-16203174:SPEN	480	366.4716	0.7269	0.7269	0.0249	0.0225
chr1:16235776-16236015:SPEN	240	483.9979	0.9591	0.9591	0.0330	0.0286
chr1:16237576-16237815:SPEN	240	443.8856	0.8707	0.8707	0.0344	0.0265
chr1:16242579-16242818:SPEN	240	421.3656	0.8296	0.8296	0.0442	0.0377
chr1:16245364-16245603:SPEN	240	427.3481	0.8441	0.8441	0.0513	0.0427
chr1:16245896-16246015:SPEN	120	267.1168	0.5156	0.5156	0.0521	0.0390
chr1:16247362-16247481:SPEN	120	335.9323	0.6605	0.6605	0.0282	0.0225
chr1:16248734-16248853:SPEN	120	391.6149	0.7799	0.7799	0.0514	0.0456
chr1:16254560-16262478:SPEN	7919	572.3431	1.1101	1.1101	0.0232	0.0163
chr1:16262505-16262864:SPEN	360	357.0762	0.7058	0.7058	0.0283	0.0277
chr1:16263600-16264199:SPEN	600	534.6955	1.0379	1.0379	0.0346	0.0251
chr1:16264285-16264524:SPEN	240	306.2551	0.6016	0.6016	0.0316	0.0241
chr1:16265173-16265412:SPEN	240	482.3474	0.9518	0.9518	0.0349	0.0218
chr1:16265737-16265976:SPEN	240	432.4827	0.8393	0.8393	0.0380	0.0289
chr1:17345355-17345474:SDHB	120	346.4578	0.6854	0.6854	0.0401	0.0282
chr1:17349044-17349283:SDHB	240	518.1833	1.0220	1.0220	0.0429	0.0325
chr1:17350459-17350638:SDHB	180	446.6917	0.8864	0.8864	0.0263	0.0200
chr1:17354243-17354362:SDHB	120	363.9244	0.7239	0.7239	0.0318	0.0284
chr1:17355044-17355283:SDHB	240	504.4652	1.0029	1.0029	0.0458	0.0348
chr1:17359538-17359657:SDHB	120	445.1481	0.8843	0.8843	0.0337	0.0243
chr1:17371200-17371439:SDHB	240	600.3651	1.1854	1.1854	0.0569	0.0418
chr1:17380419-17380628:SDHB	210	524.5533	1.0444	1.0444	0.0598	0.0435
chr1:22404964-22405083:CDC42	120	412.6592	0.8201	0.8201	0.0345	0.0285
chr1:22405167-22405406:CDC42	240	660.6488	1.2717	1.2717	0.0309	0.0223
chr1:22408191-22408310:CDC42	120	363.4967	0.7307	0.7307	0.0414	0.0311
chr1:22412927-22413046:CDC42	120	613.9650	1.2050	1.2050	0.0572	0.0440
chr1:22413141-22413380:CDC42	240	567.0996	1.1283	1.1283	0.0489	0.0339
chr1:22416386-22417345:CDC42	960	756.4740	1.3781	1.3781	0.0335	0.0282
chr1:22417906-22418025:CDC42	120	349.0302	0.6938	0.6938	0.0267	0.0177
chr1:23885421-23885540:ID3	120	360.9035	0.7088	0.7088	0.0454	0.0314
chr1:23885588-23885947:ID3	360	481.5554	0.9530	0.9530	0.0570	0.0408
chr1:27022812-27022930:ARID1A	119	221.0282	0.4010	0.4010	0.0244	0.0198
chr1:27022937-27023666:ARID1A	730	627.8284	1.2063	1.2063	0.0768	0.0549
chr1:27023671-27024066:ARID1A	396	591.4678	1.1644	1.1644	0.0870	0.0667
chr1:27056128-27056367:ARID1A	240	459.8515	0.8957	0.8957	0.0500	0.0371
chr1:27057629-27058108:ARID1A	480	691.4811	1.2833	1.2833	0.0354	0.0274
chr1:27059165-27059284:ARID1A	120	385.7100	0.7650	0.7650	0.0394	0.0273
chr1:27087287-27087646:ARID1A	360	498.8725	0.9856	0.9856	0.0415	0.0294
chr1:27087860-27087979:ARID1A	120	432.1347	0.8605	0.8605	0.0437	0.0332
chr1:27088607-27088846:ARID1A	240	424.0635	0.8410	0.8410	0.0623	0.0461
chr1:27089440-27089799:ARID1A	360	503.9569	0.9802	0.9802	0.0279	0.0218
chr1:27092665-27092904:ARID1A	240	535.1753	1.0636	1.0636	0.0455	0.0328
chr1:27092943-27093062:ARID1A	120	642.9112	1.2517	1.2517	0.0391	0.0349
chr1:27094266-27094505:ARID1A	240	437.3615	0.8680	0.8680	0.0407	0.0307
chr1:27097594-27097833:ARID1A	240	608.6699	1.1849	1.1849	0.0318	0.0284
chr1:27098937-27099176:ARID1A	240	580.6351	1.1567	1.1567	0.0468	0.0364
chr1:27099271-27099510:ARID1A	240	614.6608	1.2110	1.2110	0.0382	0.0275
chr1:27099793-27100259:ARID1A	467	656.9398	1.2584	1.2584	0.0360	0.0305
chr1:27100281-27100400:ARID1A	120	553.3197	1.0962	1.0962	0.0518	0.0442
chr1:27100720-27100958:ARID1A	239	635.7999	1.2346	1.2346	0.0370	0.0295
chr1:27100961-27101800:ARID1A	840	673.8716	1.2674	1.2674	0.0256	0.0159
chr1:27102014-27102253:ARID1A	240	460.7633	0.9224	0.9224	0.0288	0.0206
chr1:27105491-27107289:ARID1A	1799	702.0235	1.3019	1.3019	0.0329	0.0253
chr1:28586344-28586463:SESN2	120	310.6017	0.6146	0.6146	0.0422	0.0293
chr1:28595667-28595786:SESN2	120	273.7031	0.5241	0.5241	0.0450	0.0343
chr1:28598164-28598403:SESN2	240	404.7700	0.7967	0.7967	0.0464	0.0349
chr1:28598767-28599006:SESN2	240	483.0609	0.9506	0.9506	0.0423	0.0352
chr1:28599078-28599317:SESN2	240	403.4674	0.8045	0.8045	0.0486	0.0312
chr1:28599825-28600064:SESN2	240	499.5041	0.9889	0.9889	0.0578	0.0259
chr1:28600551-28600670:SESN2	120	271.8959	0.5257	0.5257	0.0532	0.0443
chr1:28601312-28601551:SESN2	240	239.6995	0.4384	0.4384	0.0327	0.0258
chr1:28605560-28605799:SESN2	240	365.5443	0.7315	0.7315	0.0449	0.0368
chr1:28607211-28607330:SESN2	120	348.0248	0.6905	0.6905	0.0513	0.0367
chr1:32757735-32758079:HDAC1	345	582.2453	1.1556	1.1556	0.0688	0.0579
chr1:32768218-32768337:HDAC1	120	432.2093	0.8511	0.8511	0.0490	0.0343
chr1:32782265-32782384:HDAC1	120	369.6475	0.7390	0.7390	0.0444	0.0350
chr1:32790057-32790176:HDAC1	120	349.0266	0.6909	0.6909	0.0406	0.0320
chr1:32792490-32792729:HDAC1	240	646.3442	1.2460	1.2460	0.0346	0.0212
chr1:32793088-32793327:HDAC1	240	368.3771	0.7244	0.7244	0.0598	0.0503
chr1:32794656-32794775:HDAC1	120	361.7395	0.7074	0.7074	0.0362	0.0272
chr1:32796173-32796292:HDAC1	120	423.2955	0.8394	0.8394	0.0643	0.0497
chr1:32796319-32796558:HDAC1	240	594.1031	1.1693	1.1693	0.0669	0.0559
chr1:32797069-32797188:HDAC1	120	482.3358	0.9529	0.9529	0.0533	0.0397
chr1:32797223-32797462:HDAC1	240	567.6953	1.1247	1.1247	0.0634	0.0516
chr1:32797647-32797886:HDAC1	240	662.6677	1.2663	1.2663	0.0313	0.0260
chr1:32798266-32798385:HDAC1	120	393.7151	0.7780	0.7780	0.0517	0.0335
chr1:32798572-32798691:HDAC1	120	383.2192	0.7493	0.7493	0.0347	0.0252
chr1:36807345-36807584:STK40	240	446.4687	0.8661	0.8661	0.0318	0.0269
chr1:36808948-36809067:STK40	120	293.5654	0.5807	0.5807	0.0278	0.0179
chr1:36809401-36809640:STK40	240	490.5896	0.9766	0.9766	0.0640	0.0568
chr1:36809674-36809913:STK40	240	452.8531	0.8938	0.8938	0.0560	0.0455
chr1:36814299-36814418:STK40	120	326.4402	0.6438	0.6438	0.0479	0.0323
chr1:36819932-36820051:STK40	120	259.8910	0.4927	0.4927	0.0563	0.0445
chr1:36820801-36821040:STK40	240	433.8238	0.8565	0.8565	0.0686	0.0623
chr1:36823792-36824031:STK40	240	470.9603	0.9202	0.9202	0.0398	0.0335
chr1:36824329-36824448:STK40	120	336.8602	0.6694	0.6694	0.0492	0.0354
chr1:36826804-36827041:STK40	238	656.6402	1.2548	1.2548	0.0369	0.0289
chr1:36833396-36833515:STK40	120	301.4377	0.5943	0.5943	0.0322	0.0265
chr1:36931585-36931824:CSF3R	240	601.8910	1.1908	1.1908	0.0514	0.0387
chr1:36931829-36932547:CSF3R	719	633.9383	1.2341	1.2341	0.0116	0.0085
chr1:36932812-36932931:CSF3R	120	347.8601	0.6885	0.6885	0.0309	0.0260
chr1:36933146-36933265:CSF3R	120	363.8217	0.7231	0.7231	0.0415	0.0293
chr1:36933374-36933613:CSF3R	240	489.0422	0.9730	0.9730	0.0488	0.0304
chr1:36933629-36933868:CSF3R	240	559.8988	1.1130	1.1130	0.0425	0.0298
chr1:36934748-36934867:CSF3R	120	324.4122	0.6449	0.6449	0.0629	0.0522
chr1:36935228-36935467:CSF3R	240	449.2186	0.8909	0.8909	0.0433	0.0337
chr1:36937021-36937260:CSF3R	240	466.2986	0.9285	0.9285	0.0445	0.0377
chr1:36937644-36937763:CSF3R	120	359.4369	0.7140	0.7140	0.0411	0.0346
chr1:36937796-36938035:CSF3R	240	516.8089	1.0194	1.0194	0.0566	0.0412
chr1:36938083-36938322:CSF3R	240	544.5913	1.0749	1.0749	0.0502	0.0365
chr1:36939010-36939249:CSF3R	240	450.3181	0.8947	0.8947	0.0483	0.0396
chr1:36939307-36939546:CSF3R	240	574.7420	1.1392	1.1392	0.0510	0.0422
chr1:36940947-36941306:CSF3R	360	690.8190	1.2873	1.2873	0.0363	0.0301
chr1:36945006-36945125:CSF3R	120	443.6963	0.8672	0.8672	0.0430	0.0274
chr1:39305181-39305420:RRAGC	240	466.9653	0.9245	0.9245	0.0388	0.0264
chr1:39311566-39311805:RRAGC	240	476.8843	0.9464	0.9464	0.0581	0.0452
chr1:39317238-39317477:RRAGC	240	496.2566	0.9856	0.9856	0.0485	0.0367
chr1:39318043-39318162:RRAGC	120	313.1483	0.6201	0.6201	0.0329	0.0286
chr1:39321360-39321599:RRAGC	240	526.2352	1.0473	1.0473	0.0441	0.0236
chr1:39322533-39322772:RRAGC	240	450.9354	0.8869	0.8869	0.0347	0.0285
chr1:39325067-39325186:RRAGC	120	287.4163	0.5671	0.5671	0.0494	0.0346
chr1:39325221-39325339:RRAGC	119	278.8478	0.5455	0.5455	0.0622	0.0501
chr1:40363031-40363750:MYCL	720	624.7415	1.2364	1.2364	0.0406	0.0301
chr1:40364299-40364778:MYCL	480	629.7154	1.2275	1.2275	0.0260	0.0170
chr1:40365264-40365743:MYCL	480	571.6638	1.1230	1.1230	0.0496	0.0487
chr1:40365776-40366033:MYCL	258	664.9767	1.2578	1.2578	0.0247	0.0170
chr1:40366054-40367081:MYCL	1028	655.9072	1.2509	1.2509	0.0331	0.0249
chr1:40367083-40367561:MYCL	479	604.7311	1.1778	1.1778	0.0471	0.0374
chr1:43803500-43803619:MPL	120	498.1738	0.9771	0.9771	0.0541	0.0406
chr1:43803716-43803955:MPL	240	474.2237	0.9390	0.9390	0.0355	0.0282
chr1:43804183-43804422:MPL	240	552.2911	1.0942	1.0942	0.0586	0.0519
chr1:43804912-43805271:MPL	360	528.3661	1.0479	1.0479	0.0567	0.0414
chr1:43805597-43805836:MPL	240	441.0489	0.8682	0.8682	0.0452	0.0256
chr1:43806002-43806241:MPL	240	410.4487	0.8235	0.8235	0.0473	0.0322
chr1:43812088-43812327:MPL	240	477.6905	0.9455	0.9455	0.0238	0.0208
chr1:43812415-43812654:MPL	240	442.1743	0.8811	0.8811	0.0528	0.0350
chr1:43814474-43814713:MPL	240	449.7615	0.8861	0.8861	0.0486	0.0414
chr1:43814922-43815041:MPL	120	373.8974	0.7376	0.7376	0.0414	0.0359
chr1:43817871-43817990:MPL	120	319.1992	0.6296	0.6296	0.0457	0.0351
chr1:43818137-43818496:MPL	360	577.6243	1.1320	1.1320	0.0442	0.0387
chr1:45794924-45795163:MUTYH	240	608.5343	1.2017	1.2017	0.0477	0.0409
chr1:45796149-45796268:MUTYH	120	450.3642	0.8876	0.8876	0.0385	0.0296
chr1:45796811-45797280:MUTYH	470	661.9578	1.2553	1.2553	0.0297	0.0244
chr1:45797308-45797547:MUTYH	240	565.4667	1.1344	1.1344	0.0559	0.0377
chr1:45797667-45797786:MUTYH	120	462.5114	0.9112	0.9112	0.0496	0.0414
chr1:45797791-45798030:MUTYH	240	655.9916	1.2535	1.2535	0.0428	0.0359
chr1:45798052-45798171:MUTYH	120	556.0925	1.0851	1.0851	0.0420	0.0292
chr1:45798243-45798362:MUTYH	120	521.6357	1.0198	1.0198	0.0360	0.0313
chr1:45798411-45798530:MUTYH	120	571.7093	1.1509	1.1509	0.0518	0.0361
chr1:45798551-45798670:MUTYH	120	427.2678	0.8610	0.8610	0.0405	0.0327
chr1:45798746-45798865:MUTYH	120	413.0963	0.8363	0.8363	0.0508	0.0441
chr1:45798917-45799036:MUTYH	120	483.6324	0.9532	0.9532	0.0591	0.0436
chr1:45799076-45799315:MUTYH	240	554.7466	1.0976	1.0976	0.0629	0.0511
chr1:45800004-45800243:MUTYH	240	734.9499	1.3525	1.3525	0.0558	0.0425
chr1:45805540-45805837:MUTYH	298	775.9950	1.4261	1.4261	0.0691	0.0548
chr1:45805849-45805968:MUTYH	120	590.5225	1.1657	1.1657	0.0850	0.0680
chr1:46509324-46509563:PIK3R3	240	426.1496	0.8435	0.8435	0.0344	0.0231
chr1:46511555-46511794:PIK3R3	240	377.1238	0.7423	0.7423	0.0327	0.0226
chr1:46512200-46512319:PIK3R3	120	366.8828	0.7401	0.7401	0.0485	0.0335
chr1:46521436-46521675:PIK3R3	240	531.7721	1.0584	1.0584	0.0589	0.0411
chr1:46527552-46527791:PIK3R3	240	480.2931	0.9584	0.9584	0.0413	0.0332
chr1:46531669-46531908:PIK3R3	240	375.6845	0.7432	0.7432	0.0424	0.0304
chr1:46532554-46532793:PIK3R3	240	426.3845	0.8471	0.8471	0.0222	0.0173
chr1:46543176-46543295:PIK3R3	120	355.5287	0.7088	0.7088	0.0396	0.0294
chr1:46546309-46546428:PIK3R3	120	404.0074	0.8039	0.8039	0.0552	0.0403
chr1:46597470-46598719:PIK3R3	1250	648.4552	1.2590	1.2590	0.0342	0.0262
chr1:46641842-46642201:PIK3R3	360	497.7463	0.9859	0.9859	0.0609	0.0457
chr1:46714020-46714139:RAD54L	120	264.4062	0.5068	0.5068	0.0582	0.0522
chr1:46714168-46714287:RAD54L	120	271.6067	0.5305	0.5305	0.0484	0.0370
chr1:46715612-46715851:RAD54L	240	324.4452	0.6452	0.6452	0.0272	0.0183
chr1:46724328-46724447:RAD54L	120	220.3579	0.4071	0.4071	0.0204	0.0131
chr1:46725584-46725823:RAD54L	240	299.4258	0.5929	0.5929	0.0342	0.0266
chr1:46726189-46726308:RAD54L	120	266.7172	0.5112	0.5112	0.0409	0.0326
chr1:46726363-46726722:RAD54L	360	390.6470	0.7859	0.7859	0.0242	0.0161
chr1:46726875-46727114:RAD54L	240	268.9095	0.5212	0.5212	0.0407	0.0377
chr1:46733087-46733326:RAD54L	240	524.7282	1.0418	1.0418	0.0561	0.0464
chr1:46736274-46736513:RAD54L	240	383.5316	0.7581	0.7581	0.0307	0.0201
chr1:46738116-46738235:RAD54L	120	268.3033	0.5176	0.5176	0.0432	0.0372
chr1:46738290-46738529:RAD54L	240	348.3036	0.6905	0.6905	0.0348	0.0308
chr1:46739023-46739142:RAD54L	120	232.9872	0.4222	0.4222	0.0185	0.0120
chr1:46739238-46739477:RAD54L	240	332.0395	0.6589	0.6589	0.0307	0.0260
chr1:46739790-46739909:RAD54L	120	302.2703	0.6005	0.6005	0.0291	0.0223
chr1:46740180-46740419:RAD54L	240	357.8775	0.7099	0.7099	0.0304	0.0221
chr1:46743451-46743690:RAD54L	240	328.5638	0.6520	0.6520	0.0382	0.0309
chr1:46743730-46743969:RAD54L	240	297.2153	0.5932	0.5932	0.0340	0.0292
chr1:47024240-47024479:MKNK1	240	646.0354	1.2426	1.2426	0.0430	0.0266
chr1:47025868-47025987:MKNK1	120	426.0407	0.8464	0.8464	0.0487	0.0365
chr1:47027113-47027352:MKNK1	240	593.5183	1.1716	1.1716	0.0471	0.0312
chr1:47028298-47028537:MKNK1	240	400.6967	0.7880	0.7880	0.0356	0.0280
chr1:47030701-47030820:MKNK1	120	388.9154	0.7711	0.7711	0.0442	0.0390
chr1:47034083-47034202:MKNK1	120	446.5774	0.8879	0.8879	0.0561	0.0337
chr1:47037727-47037846:MKNK1	120	456.9335	0.9032	0.9032	0.0534	0.0396
chr1:47040596-47040715:MKNK1	120	329.1828	0.6536	0.6536	0.0508	0.0508
chr1:47042227-47042346:MKNK1	120	360.5748	0.7227	0.7227	0.0381	0.0302
chr1:47046191-47046310:MKNK1	120	396.2255	0.7877	0.7877	0.0441	0.0351
chr1:47048891-47049010:MKNK1	120	417.5434	0.8291	0.8291	0.0389	0.0272
chr1:47051537-47051656:MKNK1	120	387.0550	0.7710	0.7710	0.0559	0.0441
chr1:47059742-47059861:MKNK1	120	382.8107	0.7584	0.7584	0.0452	0.0334
chr1:51435985-51436224:CDKN2C	240	484.0457	0.9671	0.9671	0.0453	0.0370
chr1:51439514-51439993:CDKN2C	480	674.2615	1.2835	1.2835	0.0318	0.0239
chr1:59247735-59248094:JUN	360	637.0622	1.2384	1.2384	0.0282	0.0214
chr1:59248119-59248277:JUN	159	634.7768	1.2545	1.2545	0.0402	0.0229
chr1:59248339-59248817:JUN	479	601.8177	1.1995	1.1995	0.0393	0.0316
chr1:65300233-65300352:JAK1	120	499.8486	0.9990	0.9990	0.0788	0.0619
chr1:65301074-65301193:JAK1	120	526.2140	1.0449	1.0449	0.0554	0.0426
chr1:65301780-65301899:JAK1	120	397.0611	0.7776	0.7776	0.0336	0.0197
chr1:65303582-65303821:JAK1	240	742.0122	1.3646	1.3646	0.0741	0.0565
chr1:65304091-65304330:JAK1	240	698.6644	1.2964	1.2964	0.0522	0.0395
chr1:65305263-65305502:JAK1	240	607.7997	1.2144	1.2144	0.0320	0.0278
chr1:65306915-65307034:JAK1	120	564.2880	1.1253	1.1253	0.0727	0.0610
chr1:65307089-65307328:JAK1	240	530.3762	1.0441	1.0441	0.0204	0.0175
chr1:65309703-65309942:JAK1	240	392.8076	0.7703	0.7703	0.0290	0.0225
chr1:65310385-65310624:JAK1	240	534.1056	1.0545	1.0545	0.0324	0.0274
chr1:65311140-65311379:JAK1	240	606.3032	1.1924	1.1924	0.0453	0.0425
chr1:65312316-65312435:JAK1	120	375.7660	0.7265	0.7265	0.0279	0.0214
chr1:65313167-65313406:JAK1	240	586.0703	1.1675	1.1675	0.0395	0.0233
chr1:65316480-65316599:JAK1	120	370.1333	0.7371	0.7371	0.0296	0.0219
chr1:65321167-65321406:JAK1	240	549.5823	1.1023	1.1023	0.0406	0.0306
chr1:65323281-65323520:JAK1	240	594.7797	1.1731	1.1731	0.0451	0.0403
chr1:65325747-65325986:JAK1	240	409.3426	0.8072	0.8072	0.0354	0.0287
chr1:65330443-65330682:JAK1	240	665.8891	1.2697	1.2697	0.0415	0.0358
chr1:65332540-65332899:JAK1	360	806.7698	1.4758	1.4758	0.0420	0.0331
chr1:65334956-65335195:JAK1	240	576.1143	1.1314	1.1314	0.0370	0.0310
chr1:65339010-65339249:JAK1	240	631.4431	1.2527	1.2527	0.0490	0.0398
chr1:65344650-65344889:JAK1	240	602.7071	1.1981	1.1981	0.0415	0.0313
chr1:65348939-65349178:JAK1	240	632.2396	1.2442	1.2442	0.0427	0.0312
chr1:65351923-65352042:JAK1	120	535.9863	1.0690	1.0690	0.0690	0.0429
chr1:71873071-71873310:NEGR1	240	523.6673	1.0112	1.0112	0.0332	0.0321
chr1:72058456-72058695:NEGR1	240	524.2463	1.0330	1.0330	0.0512	0.0414
chr1:72076650-72076889:NEGR1	240	530.0664	1.0317	1.0317	0.0530	0.0489
